zn,indus,radial,tax
0,21.89,4,437
0,19.58,5,403
0,19.58,5,403
0,19.58,5,403
0,19.58,5,403
0,19.58,5,403
0,19.58,5,403
0,19.58,5,403
95,2.68,4,224
95,2.68,4,224
95,1.47,3,402
90,3.75,3,244
90,2.97,1,285
85,4.15,4,351
0,2.18,3,222
0,2.46,3,193
80,4.95,4,245
80,4.95,4,245
80,4.95,4,245
80,3.37,4,337
80,2.01,4,280
80,1.52,2,329
80,1.52,2,329
0,4.05,5,296
0,4.05,5,296
75,2.95,3,252
0,18.1,24,666
0,18.1,24,666
0,18.1,24,666
0,18.1,24,666
0,18.1,24,666
0,18.1,24,666
0,18.1,24,666
0,18.1,24,666
0,18.1,24,666
0,18.1,24,666
0,18.1,24,666
0,18.1,24,666
0,18.1,24,666
0,18.1,24,666
0,18.1,24,666
0,18.1,24,666
0,18.1,24,666
0,18.1,24,666
0,18.1,24,666
0,18.1,24,666
0,18.1,24,666
0,18.1,24,666
0,18.1,24,666
0,18.1,24,666
0,4.49,3,247
0,13.89,5,276
0,6.2,8,307
0,6.2,8,307
60,1.69,4,411
0,5.96,5,279
0,6.91,3,233
35,1.52,1,284
0,10.81,4,305
20,3.97,5,264
20,3.97,5,264
20,3.97,5,264
0,7.38,5,287
0,7.38,5,287
55,3.78,5,370
55,3.78,5,370
0,8.14,4,307
0,8.14,4,307
0,8.14,4,307
0,8.14,4,307
0,8.14,4,307
0,8.14,4,307
0,8.14,4,307
0,8.14,4,307
0,9.9,4,304
0,9.9,4,304
0,9.9,4,304
0,8.56,5,384
0,8.56,5,384
0,8.56,5,384
52.5,5.32,6,293
45,3.44,5,398
45,3.44,5,398
45,3.44,5,398
25,5.13,8,284
25,5.13,8,284
25,5.13,8,284
25,5.13,8,284
35,6.06,1,304
35,6.06,1,304
0,9.69,6,391
0,9.69,6,391
0,9.69,6,391
0,10.01,6,432
30,4.93,6,300
22,5.86,7,330
22,5.86,7,330
20,6.96,3,223
20,6.96,3,223
34,6.09,7,329
